Age,MonthlyIncome,JobSatisfaction,WorkLifeBalance,YearsAtCompany,OverTime,DistanceFromHome,NumCompaniesWorked,EnvironmentSatisfaction,JobInvolvement,PerformanceRating,YearsSinceLastPromotion,YearsWithCurrManager,TrainingTimesLastYear,Education,Department,JobRole,MaritalStatus,EducationField,Gender,BusinessTravel,StockOptionLevel,Attrition
56,3923,4,4,36,0,18,2,4,2,2,14,6,4,5,R&D,Director,Married,HR,Female,Non-Travel,1,0
46,9993,1,3,15,1,29,1,4,3,3,11,3,6,5,R&D,Sales Exec,Married,Tech Degree,Male,Travel_Rarely,3,0
32,6619,4,1,21,0,27,9,1,3,1,13,12,4,3,Sales,Sales Exec,Married,Life Sci,Male,Non-Travel,1,0
25,3682,1,4,19,0,24,7,4,4,2,11,12,0,5,Sales,Sales Exec,Divorced,Life Sci,Male,Travel_Rarely,2,1
38,10130,4,1,26,0,2,3,4,4,1,8,16,5,4,HR,Mfg Dir,Married,HR,Male,Travel_Rarely,0,0
56,1407,3,3,15,0,16,7,3,2,1,3,0,6,3,R&D,Healthcare Rep,Single,HR,Female,Non-Travel,2,0
36,1000,1,2,33,1,1,0,1,1,4,11,5,5,4,HR,Manager,Single,Tech Degree,Female,Travel_Rarely,2,0
40,1000,1,2,31,0,26,4,3,1,1,8,0,2,5,Sales,Lab Tech,Divorced,Marketing,Female,Travel_Rarely,1,0
28,2032,3,2,25,0,19,8,1,4,1,10,7,6,3,R&D,Lab Tech,Single,Medical,Male,Non-Travel,3,0
28,1363,3,4,24,0,9,0,3,3,2,2,16,3,4,R&D,Healthcare Rep,Married,Medical,Male,Non-Travel,2,0
41,13302,1,2,1,0,28,3,3,2,3,11,14,5,5,HR,Sales Exec,Married,Medical,Male,Travel_Rarely,0,0
53,1000,3,4,11,1,3,5,2,3,3,0,6,1,2,Sales,Lab Tech,Married,Marketing,Female,Travel_Rarely,1,0
57,6003,2,3,39,0,25,9,4,3,2,10,15,1,2,Sales,Manager,Married,Tech Degree,Female,Travel_Rarely,2,0
41,1048,4,3,8,1,7,7,1,1,3,4,6,0,1,R&D,Lab Tech,Married,Medical,Female,Non-Travel,1,0
20,10670,4,4,11,0,29,2,4,2,1,9,16,6,2,HR,Manager,Married,Life Sci,Male,Travel_Rarely,0,0
39,16261,4,1,25,0,10,4,2,3,4,9,3,0,4,HR,Sales Exec,Divorced,Life Sci,Male,Travel_Rarely,1,0
19,3131,2,2,8,1,1,6,1,4,1,13,11,6,2,HR,Sales Exec,Married,Life Sci,Female,Travel_Rarely,3,0
41,10562,3,2,9,0,10,0,2,4,1,1,12,2,3,HR,Research Sci,Married,HR,Male,Travel_Frequently,2,0
47,1000,3,2,31,0,21,6,4,1,4,3,3,3,3,Sales,Mfg Dir,Married,HR,Female,Travel_Rarely,2,0
55,8572,1,4,33,1,9,7,3,4,2,1,0,3,3,Sales,Director,Married,Marketing,Female,Travel_Rarely,3,0
19,1297,3,3,19,0,28,7,2,4,1,1,0,4,2,Sales,Director,Divorced,Medical,Male,Travel_Rarely,0,1
38,11968,1,2,38,0,15,8,2,3,1,12,6,0,2,R&D,Sales Rep,Single,HR,Female,Travel_Frequently,0,0
50,1000,2,3,1,1,15,5,3,4,2,2,8,6,1,R&D,Mfg Dir,Married,Life Sci,Female,Travel_Rarely,1,0
29,4061,4,2,0,0,3,5,4,4,1,4,0,5,5,HR,Sales Exec,Divorced,HR,Female,Travel_Rarely,2,0
39,7065,4,2,35,0,25,1,2,3,1,3,15,1,1,Sales,Director,Married,Life Sci,Female,Travel_Rarely,0,0
42,1496,4,4,23,0,5,2,4,1,3,1,14,5,4,R&D,Manager,Single,Medical,Female,Travel_Rarely,3,0
44,1072,3,1,26,0,9,3,3,1,2,14,5,1,3,HR,Sales Rep,Married,Marketing,Male,Travel_Rarely,3,0
59,1000,1,4,1,1,26,3,1,2,1,10,1,2,2,R&D,Lab Tech,Divorced,Tech Degree,Female,Non-Travel,3,0
45,1975,1,2,30,0,22,7,2,4,1,13,8,1,5,Sales,Lab Tech,Divorced,Tech Degree,Male,Travel_Rarely,0,0
33,4103,2,2,13,0,9,0,4,3,4,13,3,5,5,R&D,Sales Rep,Married,Life Sci,Female,Travel_Rarely,3,0
32,1000,3,1,1,0,23,9,3,2,4,9,12,5,2,R&D,Research Sci,Single,HR,Male,Non-Travel,2,0
20,2363,2,3,28,0,7,3,3,1,4,1,10,3,1,R&D,HR,Divorced,HR,Male,Non-Travel,0,0
54,1000,1,3,14,0,24,3,2,1,1,13,12,6,5,R&D,Manager,Married,Life Sci,Male,Travel_Rarely,0,0
24,8537,1,2,11,1,23,0,1,3,1,5,10,3,1,Sales,Director,Divorced,Medical,Female,Travel_Rarely,2,1
38,1000,4,3,36,0,12,2,2,2,4,6,7,0,2,HR,Research Sci,Married,Life Sci,Male,Travel_Rarely,3,0
26,1665,3,2,27,1,25,4,4,2,3,11,6,5,1,R&D,Manager,Single,Medical,Female,Non-Travel,0,0
56,1000,1,1,19,1,27,5,3,3,3,9,15,6,3,R&D,Director,Married,Marketing,Female,Travel_Rarely,2,0
35,2830,4,1,38,0,9,8,1,3,3,5,2,2,2,HR,Sales Exec,Single,Marketing,Male,Travel_Rarely,2,0
21,9166,3,2,23,0,6,8,4,2,3,6,16,1,2,Sales,Mfg Dir,Married,Life Sci,Male,Travel_Rarely,1,0
42,2489,2,1,20,0,23,8,2,1,2,0,14,0,5,Sales,Sales Exec,Divorced,Marketing,Female,Travel_Rarely,3,0
31,1000,3,4,9,0,2,0,3,4,4,5,16,4,5,R&D,Lab Tech,Married,HR,Female,Travel_Rarely,3,0
26,7006,3,4,13,1,9,8,2,1,1,10,10,4,5,Sales,Research Sci,Divorced,Medical,Female,Travel_Rarely,2,0
43,7774,1,1,36,1,28,7,1,3,4,2,4,6,3,R&D,Sales Rep,Married,Tech Degree,Male,Non-Travel,0,1
19,1000,1,2,17,0,29,1,1,2,3,0,15,1,3,Sales,Sales Exec,Married,Tech Degree,Female,Travel_Rarely,1,1
37,7366,3,2,23,0,17,0,1,2,1,7,14,1,4,Sales,Research Sci,Divorced,Marketing,Female,Travel_Rarely,1,0
45,14715,1,1,13,1,1,0,1,4,2,3,9,6,2,R&D,Healthcare Rep,Married,Medical,Female,Travel_Rarely,0,0
24,1000,1,3,33,1,19,5,1,2,4,9,13,1,5,Sales,Lab Tech,Married,HR,Female,Travel_Rarely,1,0
25,7369,1,4,11,0,28,8,2,4,1,7,1,3,2,R&D,Director,Married,Tech Degree,Female,Travel_Rarely,0,1
52,6164,4,3,21,0,6,6,1,1,1,9,15,1,1,R&D,Research Sci,Married,HR,Female,Travel_Frequently,1,0
31,3208,4,2,5,0,5,4,1,1,3,13,7,4,3,HR,Manager,Single,HR,Female,Travel_Rarely,0,0
34,1000,3,2,35,1,2,1,3,2,3,10,14,1,4,R&D,Director,Divorced,Tech Degree,Female,Travel_Rarely,2,0
53,1000,1,3,35,0,9,0,1,2,4,3,9,5,1,Sales,Lab Tech,Divorced,Tech Degree,Female,Travel_Rarely,2,0
57,9566,4,1,21,0,29,1,3,3,2,3,4,6,2,R&D,Sales Exec,Married,Marketing,Female,Non-Travel,1,0
21,20000,3,3,13,0,26,0,3,3,1,11,15,2,3,R&D,Healthcare Rep,Married,Medical,Female,Travel_Rarely,1,0
19,5635,1,3,15,0,14,2,3,2,3,13,11,4,5,R&D,HR,Married,Life Sci,Female,Travel_Rarely,2,0
23,2952,2,4,35,0,4,5,2,2,4,9,12,2,1,R&D,Director,Married,Medical,Male,Travel_Rarely,3,0
59,5214,1,4,24,1,4,7,2,1,3,3,8,4,3,R&D,Director,Married,Life Sci,Female,Travel_Rarely,0,0
21,4511,1,3,31,0,21,2,4,2,4,5,16,0,2,R&D,Sales Rep,Divorced,Tech Degree,Female,Travel_Rarely,3,0
46,2419,4,3,32,0,15,9,4,3,3,13,11,5,2,R&D,Sales Exec,Married,HR,Female,Non-Travel,1,0
35,1000,3,2,35,0,8,8,3,1,2,8,4,4,1,Sales,Director,Single,Medical,Female,Travel_Frequently,2,0
43,8616,3,4,19,0,26,9,2,4,1,4,11,5,1,Sales,Sales Rep,Divorced,HR,Female,Non-Travel,1,0
51,2324,4,4,17,0,4,4,1,3,3,11,0,4,1,R&D,Lab Tech,Married,Medical,Male,Travel_Rarely,3,0
27,8540,1,2,37,0,16,6,4,3,1,12,15,2,4,Sales,Director,Divorced,Other,Female,Travel_Rarely,2,0
53,1455,2,1,2,0,21,7,2,1,4,9,11,2,5,Sales,Healthcare Rep,Single,Medical,Male,Non-Travel,2,1
31,1000,1,4,22,0,28,2,1,4,2,13,8,6,3,Sales,Manager,Single,HR,Female,Travel_Frequently,2,0
48,1000,1,4,31,0,4,1,1,3,1,14,12,4,2,R&D,HR,Divorced,Other,Male,Travel_Rarely,0,0
